condition,metric,mean,median,sd,n
agent,latency_s,0.8710850105271675,0.8897982620401308,0.10159706207830639,15
agent,avg_process_cpu_percent,104.29790703149534,103.52473118279569,6.03476666964917,15
agent,peak_process_cpu_percent,322.3666666666667,301.4,41.11205361424983,15
agent,llm_calls,2.0,2.0,0.0,15
agent,tool_calls,1.0,1.0,0.0,15
agent,prompt_tokens,636.6666666666666,542.0,191.64724539284845,15
agent,completion_tokens,61.333333333333336,65.0,13.536546651125436,15
agent,total_tokens,698.0,621.0,198.4572642013532,15
agent,avg_kv_cache_usage_fraction,0.001617667487053684,0.0016446252967107413,0.0006734872785161885,15
agent,peak_kv_cache_usage_fraction,0.0050152594099695195,0.004348931841302139,0.0017053550866032042,15
chatbot,latency_s,0.26321917133949074,0.24999628099612892,0.1013982138211484,15
chatbot,avg_process_cpu_percent,58.67798665212102,59.59166666666667,5.889763062434499,15
chatbot,peak_process_cpu_percent,205.81333333333333,200.4,17.984591288364708,15
chatbot,llm_calls,1.0,1.0,0.0,15
chatbot,tool_calls,0.0,0.0,0.0,15
chatbot,prompt_tokens,1303.2,1362.0,187.3355278637771,15
chatbot,completion_tokens,31.6,31.0,13.473784069178826,15
chatbot,total_tokens,1334.8,1387.0,195.32983094535984,15
chatbot,avg_kv_cache_usage_fraction,0.007505957198313475,0.007624618514750802,0.000879882391267607,15
chatbot,peak_kv_cache_usage_fraction,0.009521871820956273,0.009384537131230886,0.000712222570200369,15
