request_id,event_type,start_s,end_s
chatbot_001,context_build,0.00045594299444928765,0.0004575630009640008
chatbot_001,llm_call,0.00046152298455126584,1.9428237789834384
chatbot_001,finalize,1.9428276990074664,1.9428287690097932
chatbot_001,request,0.0004526939883362502,1.942832398985047
chatbot_002,context_build,0.0002677759912330657,0.0002689259999897331
chatbot_002,llm_call,0.0002711359993554652,1.8259013729984872
chatbot_002,finalize,1.8259060629934538,1.8259069430059753
chatbot_002,request,0.00026583598810248077,1.8259120429866016
chatbot_003,context_build,0.0003050359955523163,0.0003071060054935515
chatbot_003,llm_call,0.0003119950124528259,2.9409483000054024
chatbot_003,finalize,2.9409587700210977,2.9409604600223247
chatbot_003,request,0.00030179601162672043,2.940968700015219
chatbot_004,context_build,0.0003341049887239933,0.00033626501681283116
chatbot_004,llm_call,0.00033918500412255526,3.144890822994057
chatbot_004,finalize,3.144895213015843,3.144896012992831
chatbot_004,request,0.00032850500429049134,3.1448994429956656
chatbot_005,context_build,0.00018941800226457417,0.00019011800759471953
chatbot_005,llm_call,0.00019206799333915114,3.5614671189978253
chatbot_005,finalize,3.561478018993512,3.5614796789886896
chatbot_005,request,0.0001868179824668914,3.5614900079963263
