request_id,timestamp_s,elapsed_s,process_cpu_percent,system_cpu_percent
agent_001,1784813707.943651,0.016874764987733215,0.0,6.9
agent_001,1784813707.9512196,0.024443158006761223,396.29999999999995,4.2
agent_001,1784813707.9602063,0.03342985297786072,111.3,1.8
agent_001,1784813707.9698133,0.04303672997048125,0.0,3.2
agent_001,1784813707.9797204,0.05294394301017746,100.9,1.6
agent_001,1784813707.9896624,0.06288593600038439,100.6,1.6
agent_001,1784813707.9996436,0.07286704797297716,0.0,1.6
agent_001,1784813708.0096414,0.08286502998089418,100.0,3.1
agent_001,1784813708.0196373,0.09286081197205931,0.0,1.6
agent_001,1784813708.0295982,0.10282166401157156,200.8,1.6
agent_001,1784813708.0396075,0.11283106601331383,0.0,3.1
agent_001,1784813708.0496147,0.12283809797372669,0.0,1.6
agent_001,1784813708.0596454,0.13286906998837367,99.7,1.6
agent_001,1784813708.0696404,0.1428637820063159,100.0,1.6
agent_001,1784813708.0796165,0.15284014400094748,0.0,1.6
agent_001,1784813708.089614,0.16283729596761987,100.0,1.6
agent_001,1784813708.0996175,0.1728409879724495,100.0,1.6
agent_001,1784813708.109601,0.18282459100009874,0.0,1.6
agent_001,1784813708.1196246,0.19284824200440198,0.0,3.1
agent_001,1784813708.129652,0.20287547400221229,99.7,1.6
agent_001,1784813708.1396441,0.21286760596558452,100.1,1.6
agent_001,1784813708.1496027,0.22282608901150525,0.0,1.6
agent_001,1784813708.1596153,0.23283880000235513,99.9,1.6
agent_001,1784813708.1704423,0.24366576201282442,92.4,2.9
agent_001,1784813708.1796334,0.25285689398879185,217.6,5.2
agent_001,1784813708.1914887,0.2647123619681224,253.1,3.9
agent_001,1784813708.1996279,0.2728511979803443,245.6,7.5
agent_001,1784813708.20963,0.28285342000890523,0.0,1.6
agent_001,1784813708.2196124,0.2928358929930255,100.2,1.6
agent_001,1784813708.2296188,0.30284209398087114,99.9,3.1
agent_001,1784813708.2396426,0.3128662359667942,0.0,1.6
agent_001,1784813708.2496145,0.3228381489752792,0.0,0.0
agent_001,1784813708.2596426,0.33286604000022635,199.4,3.1
agent_001,1784813708.2696092,0.3428326129796915,0.0,1.6
agent_001,1784813708.2795873,0.3528107950114645,0.0,1.6
agent_001,1784813708.2896554,0.36287919600727037,198.7,1.5
agent_001,1784813708.2996454,0.37286906799999997,0.0,3.1
agent_001,1784813708.3096519,0.38287559000309557,99.9,0.0
agent_001,1784813708.3196156,0.39283893298124894,0.0,1.6
agent_001,1784813708.3296244,0.40284772496670485,99.9,3.1
agent_001,1784813708.3396392,0.41286286601098254,99.8,3.1
agent_001,1784813708.349646,0.42286959796911106,0.0,3.2
agent_001,1784813708.35963,0.4328536510001868,0.0,3.1
agent_001,1784813708.3696644,0.44288791198050603,99.7,3.1
agent_001,1784813708.3796222,0.45284556498518214,100.4,3.1
agent_001,1784813708.3896437,0.46286729600979015,0.0,3.1
agent_001,1784813708.3996441,0.4728676779777743,100.0,1.6
agent_001,1784813708.4096775,0.4829010799876414,99.7,1.6
agent_001,1784813708.4196634,0.4928867819835432,0.0,1.6
agent_001,1784813708.4295893,0.5028127650148235,100.7,1.6
agent_001,1784813708.4396985,0.5129220159724355,197.9,4.6
agent_001,1784813708.4498088,0.5230323559953831,796.8000000000001,10.9
agent_001,1784813708.4610019,0.5342256330186501,177.6,1.4
agent_001,1784813708.4697144,0.5429378519766033,115.6,3.5
agent_001,1784813708.4796543,0.5528777340077795,0.0,3.2
agent_001,1784813708.4898,0.5630234639975242,0.0,1.5
agent_001,1784813708.4996345,0.572857828985434,201.4,0.0
agent_001,1784813708.5096369,0.5828605010174215,0.0,3.1
agent_001,1784813708.519643,0.5928665819810703,0.0,1.6
agent_001,1784813708.5296516,0.6028753250138834,100.0,1.6
agent_001,1784813708.5397031,0.6129266759962775,100.0,1.6
agent_001,1784813708.5496273,0.6228507689666003,0.0,1.6
agent_001,1784813708.5596292,0.6328529309830628,100.0,1.6
agent_001,1784813708.5696237,0.6428474429994822,100.0,1.6
agent_001,1784813708.579632,0.6528556550038047,0.0,3.1
agent_001,1784813708.589644,0.6628675069659948,99.9,0.0
agent_001,1784813708.5996554,0.6728788979817182,99.9,1.6
agent_001,1784813708.609637,0.6828606909839436,0.0,3.1
agent_001,1784813708.6196303,0.6928537630010396,0.0,1.6
agent_001,1784813708.6296096,0.7028330349712633,100.2,3.1
agent_001,1784813708.639625,0.7128484270069748,99.8,1.6
agent_001,1784813708.649645,0.7228685289737768,99.8,1.6
agent_001,1784813708.6596143,0.7328377909725532,0.0,1.6
agent_001,1784813708.6696904,0.742913891968783,99.3,1.6
agent_001,1784813708.6796496,0.7528729650075547,0.0,0.0
agent_001,1784813708.6896038,0.7628272469737567,100.5,1.6
agent_001,1784813708.7002027,0.7734262819867581,94.3,2.9
agent_001,1784813708.7096245,0.7828480909811333,318.4,5.0
agent_001,1784813708.7217548,0.79497851600172,82.5,2.6
agent_001,1784813708.7296116,0.8028350250096992,127.2,4.0
agent_001,1784813708.7396154,0.812838907004334,0.0,0.0
agent_001,1784813708.7496583,0.8228819789947011,99.6,1.6
agent_001,1784813708.7596524,0.8328758109710179,0.0,3.1
agent_001,1784813708.7696338,0.8428574230056256,100.2,1.6
agent_001,1784813708.7796178,0.8528413049643859,100.2,1.6
agent_001,1784813708.7896223,0.8628457069862634,0.0,1.6
agent_001,1784813708.7996347,0.8728582289768383,99.9,3.1
