request_id,event_type,start_s,end_s
agent_001,llm_call,0.0005721020279452205,1.3040835840511136
agent_001,tool_call,1.3040963840321638,1.4526157870423049
agent_001,llm_call,1.4526240070117638,2.7609369950369
agent_001,tool_call,2.760975765006151,2.900010079029016
agent_001,request,0.0005693520070053637,2.9000180390430614
agent_002,llm_call,0.0005305930390022695,1.666147684038151
agent_002,tool_call,1.6661836830317043,1.8072441610274836
agent_002,llm_call,1.8072505710297264,3.4798890280071646
agent_002,tool_call,3.4799093879992142,3.621538817998953
agent_002,request,0.0005242230254225433,3.6215425379923545
agent_003,llm_call,0.00042098399717360735,0.6897287150495686
agent_003,tool_call,0.6897549450513907,0.8181120640365407
agent_003,llm_call,0.8181187740410678,1.5054229000234045
agent_003,tool_call,1.5054474900243804,1.640309356036596
agent_003,request,0.0004186140140518546,1.64031343604438
agent_004,llm_call,0.0004081350052729249,1.1256675319746137
agent_004,tool_call,1.125682681973558,1.2662683950038627
agent_004,llm_call,1.2662762450054288,2.398013355967123
agent_004,tool_call,2.398024985974189,2.5359788829809986
agent_004,request,0.00040402496233582497,2.5359832529793493
agent_005,llm_call,0.0004732139641419053,1.200302473967895
agent_005,tool_call,1.200332692998927,1.3393125959555618
agent_005,llm_call,1.3393190859933384,2.5475799859850667
agent_005,tool_call,2.5476101259700954,2.697328000969719
agent_005,request,0.000470653991214931,2.697334320982918
