request_id,timestamp_s,elapsed_s,process_cpu_percent,system_cpu_percent
chatbot_001,1784813648.7626374,0.01835001597646624,0.0,4.9
chatbot_001,1784813648.7708833,0.02659630199195817,121.2,3.8
chatbot_001,1784813648.7790034,0.034716157999355346,123.1,0.0
chatbot_001,1784813648.7887893,0.04450206400360912,0.0,3.2
chatbot_001,1784813648.7986624,0.054375167994294316,0.0,1.6
chatbot_001,1784813648.808683,0.06439574097748846,199.6,1.6
chatbot_001,1784813648.8186874,0.07440036401385441,0.0,1.6
chatbot_001,1784813648.8286362,0.08434886700706556,0.0,3.1
chatbot_001,1784813648.838649,0.09436188999097794,99.9,1.6
chatbot_001,1784813648.8486288,0.10434142302256078,0.0,1.6
chatbot_001,1784813648.8586156,0.11432827601674944,100.1,1.6
chatbot_001,1784813648.8686168,0.12432937900302932,0.0,1.6
chatbot_001,1784813648.8786235,0.13433629099745303,199.9,1.6
chatbot_001,1784813648.8886044,0.1443173050065525,0.0,1.6
chatbot_001,1784813648.8986466,0.15435929701197892,0.0,1.6
chatbot_001,1784813648.9086528,0.16436563897877932,199.9,3.1
chatbot_001,1784813648.9186478,0.17436050198739395,0.0,0.0
chatbot_001,1784813648.9286814,0.1843943049898371,0.0,4.6
chatbot_001,1784813648.938664,0.1943768080091104,100.2,3.1
chatbot_001,1784813648.9486423,0.20435507100773975,100.2,4.7
chatbot_001,1784813648.958657,0.21436993399402127,0.0,1.6
chatbot_001,1784813648.9685438,0.22425642801681533,0.0,3.1
chatbot_001,1784813648.9785552,0.2342678610002622,199.8,3.1
chatbot_001,1784813648.9886074,0.2443203930160962,0.0,3.1
chatbot_001,1784813648.9986105,0.2543231950257905,0.0,1.6
chatbot_001,1784813649.0086036,0.2643163379980251,100.1,3.1
chatbot_001,1784813649.0185823,0.2742950610117987,0.0,3.1
chatbot_001,1784813649.0286124,0.2843250840087421,199.4,3.1
chatbot_001,1784813649.0386083,0.2943211660021916,0.0,1.6
chatbot_001,1784813649.048608,0.3043207590235397,100.0,4.7
chatbot_001,1784813649.0585792,0.3142920529935509,0.0,3.1
chatbot_001,1784813649.068585,0.3242977050249465,100.0,1.6
chatbot_001,1784813649.0785463,0.33425899798749015,100.4,3.1
chatbot_001,1784813649.088574,0.3442866610130295,0.0,3.1
chatbot_001,1784813649.0985725,0.3542853739927523,100.0,3.1
chatbot_001,1784813649.108562,0.3642748069833033,0.0,3.1
chatbot_001,1784813649.1186028,0.3743155589909293,99.6,1.6
chatbot_001,1784813649.1286244,0.3843371220282279,99.8,4.6
chatbot_001,1784813649.1385708,0.39428354502888396,0.0,1.6
chatbot_001,1784813649.1485927,0.40430535800987855,99.8,3.1
chatbot_001,1784813649.158572,0.41428485099459067,100.2,3.2
chatbot_001,1784813649.168554,0.42426690401043743,0.0,3.1
chatbot_001,1784813649.178589,0.4343019360094331,99.7,3.1
chatbot_001,1784813649.1885793,0.4442922290181741,0.0,3.1
chatbot_001,1784813649.1986115,0.454324271006044,199.4,3.1
chatbot_001,1784813649.2085893,0.46430222399067134,0.0,3.1
chatbot_001,1784813649.2185748,0.474287747987546,0.0,3.1
chatbot_001,1784813649.2285903,0.4843030699994415,99.8,1.6
chatbot_001,1784813649.2385948,0.494307602988556,100.0,4.6
chatbot_001,1784813649.2486093,0.5043221259838901,0.0,1.6
chatbot_001,1784813649.2585697,0.5142823890200816,100.4,3.1
chatbot_001,1784813649.2685752,0.5242880210280418,0.0,3.1
chatbot_001,1784813649.2786102,0.5343228440033272,99.7,3.1
chatbot_001,1784813649.2886052,0.5443179170251824,100.1,1.6
chatbot_001,1784813649.2986083,0.5543210590258241,0.0,3.1
chatbot_001,1784813649.308611,0.5643237020121887,100.0,4.6
chatbot_001,1784813649.3186069,0.5743196349940263,100.0,1.6
chatbot_001,1784813649.3286173,0.5843299180269241,0.0,3.1
chatbot_001,1784813649.3385918,0.5943044209852815,0.0,3.1
chatbot_001,1784813649.3486023,0.6043150540208444,199.8,3.1
chatbot_001,1784813649.3585963,0.6143092269776389,0.0,1.6
chatbot_001,1784813649.368621,0.6243338190251961,99.8,4.5
chatbot_001,1784813649.3786213,0.6343341820174828,0.0,3.1
chatbot_001,1784813649.388568,0.6442804950056598,100.5,1.6
chatbot_001,1784813649.3986142,0.6543270070105791,99.5,4.6
chatbot_001,1784813649.4085948,0.664307811006438,0.0,1.6
chatbot_001,1784813649.4185786,0.6742913930211216,100.2,4.6
chatbot_001,1784813649.4285903,0.6843030760064721,99.9,3.1
chatbot_001,1784813649.4385562,0.6942689989809878,0.0,3.1
chatbot_001,1784813649.4485576,0.704270352027379,100.0,3.1
chatbot_001,1784813649.4585583,0.7142708949977532,100.0,1.6
chatbot_001,1784813649.4685624,0.7242751680314541,0.0,4.5
chatbot_001,1784813649.4785779,0.7342907299753278,0.0,1.6
chatbot_001,1784813649.4886005,0.7443133430206217,99.8,4.6
chatbot_001,1784813649.4986267,0.7543394850217737,99.7,1.6
chatbot_001,1784813649.508558,0.7642709590145387,0.0,3.2
chatbot_001,1784813649.5186136,0.7743263610173017,99.4,3.1
