condition,metric,mean,sd,n
chatbot,latency_s,0.2617511269326011,0.1011946042105117,15
chatbot,avg_process_cpu_percent,34.865337619896444,5.4788564249751115,15
chatbot,peak_process_cpu_percent,108.68,25.447009366805474,15
chatbot,cpu_time_s,0.09402507050945068,0.044076133862184744,15
chatbot,llm_calls,1.0,0.0,15
chatbot,tool_calls,0.0,0.0,15
agent,latency_s,0.8622336827936427,0.10425635269805006,15
agent,avg_process_cpu_percent,108.71672900871661,113.65468944209304,15
agent,peak_process_cpu_percent,1565.7066666666667,5157.9247845934915,15
agent,cpu_time_s,0.8970686786383713,0.8161220792272678,15
agent,llm_calls,2.0,0.0,15
agent,tool_calls,1.0,0.0,15
