request_id,event_type,start_s,end_s
chatbot_001,context_build,0.001114165992476046,0.001136655977461487
chatbot_001,llm_call,0.0011394059984013438,0.12036018195794895
chatbot_001,finalize,0.12036480195820332,0.12036593200173229
chatbot_001,request,0.0011118659749627113,0.12036870198789984
chatbot_002,context_build,0.0004980340017937124,0.0005164340254850686
chatbot_002,llm_call,0.0005186640191823244,0.34979822498280555
chatbot_002,finalize,0.3498007550369948,0.34980121499393135
chatbot_002,request,0.000495914020575583,0.3498028549947776
chatbot_003,context_build,0.0005243829800747335,0.0005418629734776914
chatbot_003,llm_call,0.0005444829585030675,0.42785418900894
chatbot_003,finalize,0.4278579889796674,0.4278586789732799
chatbot_003,request,0.0005227229557931423,0.4278614689828828
chatbot_004,context_build,0.000447975005954504,0.00046638399362564087
chatbot_004,llm_call,0.00046856398694217205,0.2729938839911483
chatbot_004,finalize,0.27300151402596384,0.2730029139784165
chatbot_004,request,0.00044624501606449485,0.273007404000964
chatbot_005,context_build,0.0006931910174898803,0.0007226309971883893
chatbot_005,llm_call,0.0007283710292540491,0.22933054401073605
chatbot_005,finalize,0.22933832299895585,0.2293397430330515
chatbot_005,request,0.0006893409881740808,0.22934427403379232
